	C1	C2	C3	RA1	RA2	RA3	low
RP11-305E6.4	11.1167081502644	7.69163580207318	11.1766583957382	7.25176717231578	5.04421504564054	7.20181597419209	3.30012173392206
IFT88	9.6394589458572	11.1167081502644	8.9001858328541	11.0265779696311	14.5299888680804	13.5615028041074	3.29914845671376
SIRT5	9.83939304090374	10.4976274593316	9.22957362321791	8.6904600340068	9.80925624863509	9.44971220897061	3.29894157493004
EVI5L	9.35964899127407	9.68936750398997	10.5074063638645	14.221399798452	11.4561355285556	11.355983780975	3.29873053825523
PPIP5K1	9.88921943194306	9.68936750398997	9.93911880839227	13.397344343906	10.1685045808837	11.2467361819753	3.29845903163805
JRKL	11.0465247601804	9.88921943194306	8.7002521378903	15.3584406090541	9.579514700299	8.65031242915513	3.29747817568566
MKRN3	10.1287613870701	8.92005438744003	10.5074063638645	10.2384892881774	11.4561355285556	11.5457894442791	3.29692435296923
ABCB9	7.93141076774015	10.6969951369736	11.1766583957382	12.234997055527	11.9254397356193	10.5770918352843	3.29637606566341
CCDC40	8.64030624499335	10.0091073628821	10.9469881340413	13.122483028822	11.336333399521	11.0069379667074	3.29559531578049
ARPC1B	10.6867538504742	10.3482309132199	8.56065693517447	11.9853914871332	11.5358409758947	13.0428732234675	3.29559518270684
RP4-758J18.2	10.1287613870701	9.44971220897061	9.8841956829708	7.72135523612277	9.74931190713187	10.1487596944481	3.29525994096359
CXorf38	9.10968068005516	9.38976824040163	11.036736058301	11.1867867918905	13.2369613404252	14.0913584461247	3.29424390317995
ZNF429	10.9368001249191	9.58949859298622	8.98978735706884	10.3580350420614	9.74931190713187	10.8768490743094	3.29362038887766
SETD9	9.83939304090374	11.8451157194656	8.07113115247568	6.38287785736003	8.82020942983947	8.56065693517447	3.29252019649903
ZNF319	11.4861213620473	9.1696271981844	8.93010519014397	15.0337002487475	13.5119640645504	14.1513163955317	3.29245335173354
CELF4	9.6394589458572	9.54467710550125	10.20847194756	7.46172323003084	6.21298928909807	7.761601129388	3.29178119725464
TPP1	10.6867538504742	10.0888145938571	8.7002521378903	16.4078383386996	8.50071278311878	8.65031242915513	3.29116458928822
GS1-72M22.1	9.17949399315521	10.0091073628821	10.20847194756	5.61373889527036	5.22429218954624	4.98426744482601	3.29111702292338
SNAPC1	10.9968073038683	9.35964899127407	9.10968068005516	12.2946190779977	15.7783276286266	16.9972731152129	3.29095591115486
ELL	10.9368001249191	8.84515365581804	9.68936750398997	10.7269866026069	7.82131847910179	9.6394589458572	3.29080283052857
RAD51D	8.6904600340068	10.253324574999	10.5074063638645	8.62060102003131	10.0986525680754	8.56065693517447	3.2902623696458
RFX1	10.9368001249191	7.8114104711256	10.9469881340413	17.8764901723406	10.9469881340413	12.4045724304618	3.28972131784393
PLEKHA7	9.04973406698234	9.38976824040163	10.9968073038683	6.38287785736003	6.21298928909807	5.61866543357121	3.28932592345884
RP1-283E3.8	9.69940313092407	9.68936750398997	9.93911880839227	11.9853914871332	8.82020942983947	9.87917448607596	3.28913880482271
SNORA76	9.49956626519069	9.22957362321791	10.6467356458103	6.88262650896735	9.10968068005516	7.761601129388	3.28882163312197
ZNF383	10.1287613870701	9.04973406698234	10.0986525680754	8.33065197418152	8.06109862600265	7.791519431745	3.28478405397683
GYG1	10.7367606459471	10.906840055204	7.88126364581733	6.70279748437792	7.13699872001188	6.20304047277846	3.28335837458367
