Gene,pval,qval
Ogn,0.000462203,0.001636326
Gm20796,0.000463356,0.001640068
Cdc42ep3,0.000463641,0.001640737
Ticam2,0.000464331,0.001642839
Ccbe1,0.000466791,0.001651204
Odf3l1,0.000467204,0.001652323
Fem1a,0.000467876,0.00165436
Spag8,0.000468421,0.001655943
3010026O09Rik,0.000469317,0.00165877
Lrif1,0.000469463,0.001658943
Lce1a1,0.000470205,0.001661222
Ttc9,0.000470701,0.001662631
Satb2,0.000472338,0.00166807
Cntrob,0.000473246,0.001670934
Sprr2e,0.00047658,0.001682359
Pam,0.000479063,0.00169063
Ms4a5,0.00047912,0.00169063
1700026J12Rik,0.000479453,0.001691455
Slc26a6,0.000481279,0.001697547
Zfp516,0.000481667,0.001698567
Krt33b,0.000481775,0.001698598
Plekhs1,0.000482394,0.001700433
4933402E13Rik,0.000484719,0.001708275
Pcgf5,0.000485888,0.001712044
Kera,0.000486099,0.001712433
Gm16794,0.000486504,0.00171351
Marveld2,0.000487014,0.001714602
Gzma,0.000486964,0.001714602
Ppm1j,0.000487953,0.001717203
C2cd3,0.000487924,0.001717203
6330408A02Rik,0.000488068,0.001717253
4930577N17Rik,0.000488903,0.001719839
Rasl12,0.000490931,0.001726302
Glyat,0.000490942,0.001726302
Dcbld1,0.000491998,0.001729661
Mtr,0.000492749,0.001731947
Gm12108,0.000492913,0.001732167
Robo2,0.00049352,0.001733946
Enc1,0.000496007,0.001742325
Cdx2,0.000497232,0.001746271
Nap1l3,0.000498392,0.001749986
Nrxn1,0.000498586,0.001750308
1700120B22Rik,0.000499027,0.001751501
Hykk,0.000502816,0.001764436
Cxcl14,0.000504164,0.001768806
Anxa4,0.00050618,0.001775515
3110001I22Rik,0.000509144,0.001785547
Ffar4,0.000509992,0.001788152
Trank1,0.000510714,0.001790032
Rbm10,0.000510737,0.001790032
Ano2,0.000511073,0.001790844
Atrnl1,0.000512808,0.001796557
Zfp646,0.000513765,0.001799541
1500015A07Rik,0.000514079,0.001800274
9630013K17Rik,0.000514899,0.001802779
Plcb1,0.000516873,0.001809319
Stac,0.000517031,0.001809502
Hipk2,0.000517239,0.001809861
Tdrd7,0.000517584,0.001810699
1110020A21Rik,0.000521267,0.001823211
BC051226,0.00052319,0.001829565
Atxn1,0.000524057,0.001832222
Selm,0.000524815,0.001834499
Fam160b1,0.000530013,0.001852289
Rilpl1,0.000531277,0.00185633
Upf2,0.000533087,0.001862272
Mettl7b,0.000533579,0.001863614
Lmna,0.000534653,0.001866982
Cideb,0.000534895,0.001867447
Il24,0.000536648,0.001873187
Pknox2,0.000537469,0.001875672
Rfc1,0.000539006,0.001880651
Chrna1os,0.000539408,0.001881384
Cish,0.000539436,0.001881384
Ccdc166,0.000540404,0.001884379
Naip1,0.000542191,0.001890226
Krt33a,0.00054667,0.001905452
Acss2os,0.000547261,0.001907124
Proca1,0.000547814,0.001908664
Tgfbr2,0.000550943,0.001918934
Oit1,0.000550985,0.001918934
Gadl1,0.000552026,0.001922169
Il11ra1,0.000553128,0.001925614
Inafm2,0.000556649,0.001937478
Znhit6,0.000558545,0.001943684
Sh3gl2,0.000558748,0.001943994
Scn2a1,0.000560949,0.001951255
Ppfia4,0.000562789,0.001956467
Dos,0.000562748,0.001956467
Cerk,0.000562789,0.001956467
2810454H06Rik,0.000565723,0.001966265
Proscos,0.000565901,0.001966487
Lrrcc1,0.000567674,0.001971322
Gm26888,0.000567504,0.001971322
Irx4,0.000567708,0.001971322
Mpv17l,0.000567753,0.001971322
2900026A02Rik,0.000569861,0.001978243
Xrcc2,0.000572239,0.001986096
Ciita,0.000573251,0.001989205
Lrrc9,0.000573451,0.001989496
Serpinb6e,0.000573741,0.001990099
Olfml3,0.000574137,0.001991068
Xist,0.000575233,0.001994469
Tlx1,0.000575578,0.001995259
Micalcl,0.000578425,0.002004723
Diras2,0.000582193,0.002017375
Gas2l1,0.000582658,0.002018578
Leprel2,0.000590422,0.002045063
Slc25a23,0.000591688,0.002049034
